guild,excluded_study,coef_crc,p_value,direction,sample_n,q_value_within_exclusion
butyrate_SCFA_associated_commensal_panel,FengQ_2015,-0.5237103169053265,5.716939123315892e-15,control_higher,1288,1.7150817369947674e-14
butyrate_SCFA_associated_commensal_panel,GuptaA_2019,-0.4786042426611227,5.131103155369411e-13,control_higher,1335,1.5393309466108233e-12
butyrate_SCFA_associated_commensal_panel,HanniganGD_2017,-0.5142791564945521,4.462700621172012e-15,control_higher,1340,1.3388101863516036e-14
butyrate_SCFA_associated_commensal_panel,ThomasAM_2018a,-0.5001380205212658,1.6753237300383212e-14,control_higher,1342,5.0259711901149626e-14
butyrate_SCFA_associated_commensal_panel,ThomasAM_2018b,-0.5292000891847471,5.799538852457334e-16,control_higher,1335,1.7398616557372005e-15
butyrate_SCFA_associated_commensal_panel,ThomasAM_2019_c,-0.5137160070810833,4.887469190224241e-15,control_higher,1315,1.4662407570672723e-14
butyrate_SCFA_associated_commensal_panel,VogtmannE_2016,-0.4988438638805637,6.12504038022725e-14,control_higher,1291,1.837512114068175e-13
butyrate_SCFA_associated_commensal_panel,WirbelJ_2018,-0.4547801197211864,2.977557102884076e-11,control_higher,1270,8.932671308652228e-11
butyrate_SCFA_associated_commensal_panel,YachidaS_2019,-0.5589569308671721,7.776748667296848e-13,control_higher,886,2.3330246001890547e-12
butyrate_SCFA_associated_commensal_panel,YuJ_2015,-0.4683790951728053,4.476206892997557e-12,control_higher,1267,1.342862067899267e-11
butyrate_SCFA_associated_commensal_panel,ZellerG_2014,-0.4791126827598132,5.58617542717043e-13,control_higher,1281,1.6758526281511289e-12
Bacteroides_Enterobacteriaceae_context_panel,FengQ_2015,0.1801057516567234,0.0422893949293557,CRC_higher,1288,0.0422893949293557
Bacteroides_Enterobacteriaceae_context_panel,GuptaA_2019,0.1708588011048149,0.043573984961316,CRC_higher,1335,0.043573984961316
Bacteroides_Enterobacteriaceae_context_panel,HanniganGD_2017,0.1789824662315056,0.0400837144998132,CRC_higher,1340,0.0400837144998132
Bacteroides_Enterobacteriaceae_context_panel,ThomasAM_2018a,0.1549638776360732,0.0709611620325073,CRC_higher,1342,0.0709611620325073
Bacteroides_Enterobacteriaceae_context_panel,ThomasAM_2018b,0.1624194018134369,0.0642173210733554,CRC_higher,1335,0.0642173210733554
Bacteroides_Enterobacteriaceae_context_panel,ThomasAM_2019_c,0.2095974964666902,0.0160296532518752,CRC_higher,1315,0.0160296532518752
Bacteroides_Enterobacteriaceae_context_panel,VogtmannE_2016,0.1762757262516776,0.0484089935985577,CRC_higher,1291,0.0484089935985577
Bacteroides_Enterobacteriaceae_context_panel,WirbelJ_2018,0.204869211324067,0.0241488876553914,CRC_higher,1270,0.0241488876553914
Bacteroides_Enterobacteriaceae_context_panel,YachidaS_2019,0.3070874384363801,0.0030946773913733,CRC_higher,886,0.0030946773913733
Bacteroides_Enterobacteriaceae_context_panel,YuJ_2015,0.2117339226478994,0.0150438781798502,CRC_higher,1267,0.0150438781798502
Bacteroides_Enterobacteriaceae_context_panel,ZellerG_2014,0.133292581372841,0.1377892289236499,CRC_higher,1281,0.1377892289236499
oral_pathobiont_associated_panel,FengQ_2015,0.3450343544362669,7.907260204766005e-08,CRC_higher,1288,1.1860890307149009e-07
oral_pathobiont_associated_panel,GuptaA_2019,0.306554382417029,2.313121680124225e-06,CRC_higher,1335,3.469682520186338e-06
oral_pathobiont_associated_panel,HanniganGD_2017,0.3120638114033571,1.2543453832670174e-06,CRC_higher,1340,1.881518074900526e-06
oral_pathobiont_associated_panel,ThomasAM_2018a,0.2946257221413275,4.134566471402922e-06,CRC_higher,1342,6.201849707104383e-06
oral_pathobiont_associated_panel,ThomasAM_2018b,0.298390181967588,3.2723205854346465e-06,CRC_higher,1335,4.90848087815197e-06
oral_pathobiont_associated_panel,ThomasAM_2019_c,0.3042876163414634,1.4120061839995172e-06,CRC_higher,1315,2.118009275999276e-06
oral_pathobiont_associated_panel,VogtmannE_2016,0.2937182750881457,7.098078208760339e-06,CRC_higher,1291,1.0647117313140508e-05
oral_pathobiont_associated_panel,WirbelJ_2018,0.2620813282361037,7.549769097649495e-05,CRC_higher,1270,0.0001132465364647
oral_pathobiont_associated_panel,YachidaS_2019,0.2783719906094896,0.0001467288989503,CRC_higher,886,0.0002200933484255
oral_pathobiont_associated_panel,YuJ_2015,0.2595480868143882,7.435726545366592e-05,CRC_higher,1267,0.0001115358981804
oral_pathobiont_associated_panel,ZellerG_2014,0.3198276936632193,8.37134809667242e-07,CRC_higher,1281,1.2557022145008632e-06
